"Identifiant station","Nom de la Station","Nom de la ligne","Niveau de pollution aux particules","Niveau de pollution","Incertitude","Recommandation de surveillance","Action(s) QAI en cours","Lien vers les mesures en direct","Durée des mesures","stop_lon","stop_lat","point_geo","pollution_air","niveau","actions","niveau_pollution"
"IDFM:490917","Aéroport d'Orly","Métro 14","pas de données","pas de données","Évaluation : impossible faute d’informations","non",NA,NA,NA,2.3621434233506,48.727910744981,"48.72791074498099, 2.3621434233506027","pas de données","Pas de données",NA,"pas de données"
"IDFM:21994","Arts et Métiers","Métro 3","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3567233472755,48.8655345988593,"48.86553459885931, 2.3567233472754983","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22124","Avron","Métro 2","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.3981875566594,48.8516485435972,"48.85164854359716, 2.3981875566593973","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:22130","Barbès - Rochechouart","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.349629927853,48.8834020604862,"48.883402060486226, 2.349629927853002","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463005","Bir-Hakeim","Métro 6","station aérienne","station aérienne",NA,"non",NA,"https://www.airparif.fr/",NA,2.2894007376346,48.853925368376,"48.85392536837598, 2.2894007376345997","station aérienne","Station aérienne",NA,"station aérienne"
"IDFM:463114","Boissière","Métro 6","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.29003283760744,48.8668483434173,"48.8668483434173, 2.2900328376074373","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463134","Botzaris","Métro 7B","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.38890095131574,48.8795349912684,"48.879534991268365, 2.388900951315739","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22188","Boucicaut","Métro 8","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.28791843112456,48.8410241609932,"48.841024160993214, 2.2879184311245595","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463137","Boulogne Jean Jaurès","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.23907778072893,48.8419915753245,"48.841991575324506, 2.239077780728926","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22033","Bourse","Métro 3","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34067854697588,48.8687928439332,"48.868792843933164, 2.3406785469758815","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22231","Brochant","Métro 13","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32019024689995,48.8906220155489,"48.89062201554889, 2.3201902468999456","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463141","Cardinal Lemoine","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.35132800167318,48.8467000352631,"48.84670003526311, 2.3513280016731763","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:462976","Carrefour Pleyel","Métro 13","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34353467418347,48.9197326080498,"48.919732608049756, 2.3435346741834655","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22391","Censier - Daubenton","Métro 7","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3516265726055,48.8402262485139,"48.84022624851393, 2.351626572605499","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22095","Charles de Gaulle - Etoile","Métro 6","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.29499573544183,48.8738386147857,"48.87383861478572, 2.294995735441831","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:21986","Charles Michels","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.28562434179957,48.8463617234825,"48.84636172348247, 2.2856243417995747","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463149","Château de Vincennes","Métro 1","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.44054009540611,48.8443175143136,"48.84431751431355, 2.440540095406114","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22152","Château Rouge","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34958196802566,48.887241930649,"48.887241930648955, 2.3495819680256593","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22087","Châtelet","Métro 1","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34576095418478,48.8592247134282,"48.85922471342816, 2.3457609541847755","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22388","Chaussée d'Antin - La Fayette","Métro 7","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3337385944087,48.8731342057747,"48.87313420577469, 2.3337385944087012","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22096","Concorde","Métro 8","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32203154265572,48.8665212519395,"48.86652125193945, 2.3220315426557194","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463105","Corvisart","Métro 6","station aérienne","station aérienne",NA,"non",NA,"https://www.airparif.fr/",NA,2.35061122592617,48.8298600133124,"48.82986001331238, 2.350611225926166","station aérienne","Station aérienne",NA,"station aérienne"
"IDFM:22121","Courcelles","Métro 2","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.30329436242521,48.8792652541131,"48.87926525411311, 2.3032943624252122","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:463056","Créteil - Préfecture","Métro 8","station aérienne","station aérienne",NA,"non",NA,"https://www.airparif.fr/",NA,2.45930516929126,48.7797565267789,"48.77975652677895, 2.4593051692912615","station aérienne","Station aérienne",NA,"station aérienne"
"IDFM:24687","Danube","Métro 7B","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.39322847122749,48.8819492149206,"48.88194921492064, 2.393228471227492","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463177","Ecole Militaire","Métro 8","pollution faible","FAIBLE","Évaluation : campagne de mesure ponctuelle","non",NA,NA,"campagne de mesure ponctuelle",2.30644103943069,48.8548617551223,"48.854861755122315, 2.3064410394306907","pollution faible - incertitude faible","Pollution faible",NA,"pollution faible"
"IDFM:22214","Ecole Vétérinaire de Maisons-Alfort","Métro 8","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.42232275170259,48.8147586840067,"48.814758684006726, 2.422322751702586","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22016","Eglise de Pantin","Métro 5","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.41311955370693,48.8931639740983,"48.893163974098265, 2.413119553706935","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:463170","Esplanade de la Défense","Métro 1","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.24993108674307,48.8883498939486,"48.88834989394862, 2.249931086743073","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463171","Etienne Marcel","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34897619687911,48.8637030120243,"48.86370301202431, 2.3489761968791085","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22204","Faidherbe - Chaligny","Métro 8","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.38407247168887,48.8502007055093,"48.850200705509266, 2.384072471688875","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22056","Falguière","Métro 12","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.31755123561703,48.8443176835343,"48.844317683534335, 2.317551235617027","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463174","Gallieni","Métro 3","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","oui",NA,NA,NA,2.41592148428764,48.8653974606865,"48.86539746068654, 2.415921484287642","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:462991","Gambetta","Métro 3","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.39735887756665,48.8649726760697,"48.86497267606974, 2.3973588775666475","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463024","Gare d'Austerlitz","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.36439539460064,48.84228236698,"48.84228236697996, 2.364395394600644","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22148","Gare de l'Est","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.35774958182044,48.8762782183184,"48.87627821831841, 2.3577495818204395","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463001","Gare de l'Est","Métro 7","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","oui",NA,NA,NA,2.35812052527307,48.8762712145416,"48.876271214541624, 2.358120525273069","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22084","George V","Métro 1","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.30075978497892,48.8720377645891,"48.87203776458909, 2.300759784978918","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:21996","Goncourt","Métro 11","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3707644347484,48.8700070178386,"48.8700070178386, 2.3707644347484003","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463049","Grands Boulevards","Métro 9","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.3432202183424,48.8715588012238,"48.871558801223806, 2.3432202183423976","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:22193","Invalides","Métro 8","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.31463266044452,48.8610920113811,"48.86109201138112, 2.3146326604445164","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:21928","Jasmin","Métro 9","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.26821908352101,48.8524621478446,"48.852462147844555, 2.268219083521012","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:21952","Jaurès","Métro 5","pollution élevée","ELEVE","Évaluation : campagne de mesure ponctuelle","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,"campagne de mesure ponctuelle",2.37143895998561,48.8830239134293,"48.88302391342934, 2.371438959985608","pollution élevée - incertitude faible","Pollution élevée","Action(s) d'amélioration de la qualité de l'air en cours","pollution élevée"
"IDFM:24680","Jaurès","Métro 7B","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.37045173400456,48.8823442302082,"48.882344230208226, 2.370451734004561","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:21972","Javel - André Citroën","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.27800949652736,48.8461811062232,"48.84618110622323, 2.278009496527359","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:21929","La Muette","Métro 9","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.27409624466972,48.8580919668986,"48.85809196689865, 2.2740962446697224","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:463205","Lamarck - Caulaincourt","Métro 12","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.33858382438319,48.8896818099668,"48.88968180996681, 2.3385838243831936","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22232","Les Agnettes","Métro 13","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.286263202479,48.9230877779636,"48.92308777796361, 2.286263202479002","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463217","Les Sablons","Métro 1","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.27190476225913,48.8812908379336,"48.88129083793358, 2.271904762259129","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:490837","L'Haÿ-les-Roses","Métro 14","pas de données","pas de données","Évaluation : impossible faute d’informations","non",NA,NA,NA,2.35499121056631,48.7753264639509,"48.77532646395088, 2.354991210566311","pas de données","Pas de données",NA,"pas de données"
"IDFM:22225","Liège","Métro 13","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32685267123976,48.8795349373758,"48.87953493737576, 2.3268526712397555","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:21961","Madeleine","Métro 14","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32581004879328,48.8705446767162,"48.87054467671624, 2.3258100487932776","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:21999","Mairie des Lilas","Métro 11","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.41629782080119,48.8797436500629,"48.87974365006289, 2.4162978208011863","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
